ScanCode,Access,Description,Instruments
LOW_OPT_IMP_VOLAT_OVER_HIST,allowed,Low Option Imp Vol Over Historical,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US,IND.US,IND.EU,IND.HK"
OPT_VOLUME_MOST_ACTIVE,allowed,Most Active By Opt Volume,"STK,ETF.EQ.US,ETF.FI.US,IND.US,STOCK.HK,FUT.US"
OPT_OPEN_INTEREST_MOST_ACTIVE,allowed,Most Active By Opt Open Interest,"STK,ETF.EQ.US,ETF.FI.US,IND.US,STOCK.HK,FUT.US,IND.FCASTX"
HIGH_OPT_VOLUME_PUT_CALL_RATIO,allowed,High Opt Volume P/C Ratio,"STK,ETF.EQ.US,ETF.FI.US,IND.US,STOCK.HK,FUT.US"
LOW_OPT_VOLUME_PUT_CALL_RATIO,allowed,Low Opt Volume P/C Ratio,"STK,ETF.EQ.US,ETF.FI.US,IND.US,STOCK.HK,FUT.US"
HIGH_OPT_OPEN_INTEREST_PUT_CALL_RATIO,allowed,High Opt Open Interest P/C Ratio,"STK,ETF.EQ.US,ETF.FI.US,IND.US,STOCK.HK,FUT.US"
LOW_OPT_OPEN_INTEREST_PUT_CALL_RATIO,allowed,Low Opt Open Interest P/C Ratio,"STK,ETF.EQ.US,ETF.FI.US,IND.US,STOCK.HK,FUT.US"
HOT_BY_OPT_VOLUME,allowed,Hot By Opt Volume,"STK,ETF.EQ.US,ETF.FI.US,IND.US,STOCK.HK"
TOP_STOCK_BUY_IMBALANCE_ADV_RATIO,allowed,Hot by Buy Imbalance,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
TOP_STOCK_SELL_IMBALANCE_ADV_RATIO,allowed,Hot by Sell Imbalance,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
TOP_STOCK_BUY_REG_IMBALANCE_ADV_RATIO,allowed,Hot by Buy Regulatory Imbalance,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
TOP_STOCK_SELL_REG_IMBALANCE_ADV_RATIO,allowed,Hot by Sell Regulatory Imbalance,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
HIGH_VS_13W_HL,allowed,13-Week High,"STK,STOCK.HK,STOCK.EU,STOCK.ME,STOCK.NA,ETF.EQ.US,ETF.FI.US"
LOW_VS_13W_HL,allowed,13-Week Low,"STK,STOCK.HK,STOCK.EU,STOCK.ME,STOCK.NA,ETF.EQ.US,ETF.FI.US"
